inchikey,inchikey_skeleton,name,source_db,matched_exact_inchikey,matched_skeleton,matching_spectral_sources
BFF2DA69CDC7B2-A48DB94E5B-B,BFF2DA69CDC7B2,Synthanol 1,LOTUS,True,True,MoNA
52BBEFA2EE8B98-0FCCB2964F-7,52BBEFA2EE8B98,Synthanol 2,COCONUT,True,True,MassBank
E95A05102F7D98-69BECDE704-0,E95A05102F7D98,Synthanol 3,LOTUS,False,False,
8730E38DB903F6-01FAF96D1A-8,8730E38DB903F6,Synthanol 4,COCONUT,False,False,
FDC8241F179015-2894CC6140-4,FDC8241F179015,Synthanol 5,LOTUS,True,True,MassBank
4BB3E98CD2F2F2-48FE369843-2,4BB3E98CD2F2F2,Synthanol 6,COCONUT,False,False,
35621DB52E9CF5-98649551DF-2,35621DB52E9CF5,Synthanol 7,LOTUS,True,True,MoNA
D6A2B2D98890AD-10135D5ED5-C,D6A2B2D98890AD,Synthanol 8,COCONUT,False,False,
505D5A6B240E68-1848264DA5-8,505D5A6B240E68,Synthanol 9,LOTUS,False,False,
017C1A81041B12-6657B2CED8-F,017C1A81041B12,Synthanol 10,COCONUT,False,False,
9282F89E19C744-B146E6F600-7,9282F89E19C744,Synthanol 11,LOTUS,False,False,
46BE7486ACAF93-93CDDAB5AF-1,46BE7486ACAF93,Synthanol 12,COCONUT,True,True,GNPS;MassBank
7B3910D9C1BEA5-E15A6D0A3E-3,7B3910D9C1BEA5,Synthanol 13,LOTUS,True,True,MassBank;MoNA
6B8EECA7F2CBA1-8A988C8F9E-8,6B8EECA7F2CBA1,Synthanol 14,COCONUT,True,True,GNPS
B4AB06638A2673-8CE0621D3A-A,B4AB06638A2673,Synthanol 15,LOTUS,False,False,
F0719082F23ED2-64F0A56B23-7,F0719082F23ED2,Synthanol 16,COCONUT,False,False,
DF1EFF8A3F4283-F03C0681E2-9,DF1EFF8A3F4283,Synthanol 17,LOTUS,True,True,GNPS;MassBank
428801EA36BE15-CA65A775E0-5,428801EA36BE15,Synthanol 18,COCONUT,True,True,MassBank;MoNA
0391A59DCA9603-437F16636C-B,0391A59DCA9603,Synthanol 19,LOTUS,True,True,GNPS;MassBank
2DD7F17EB266C7-6FB61F755A-5,2DD7F17EB266C7,Synthanol 20,COCONUT,True,True,MassBank;MoNA
E7BF69844F53F5-5A3C167B6D-4,E7BF69844F53F5,Synthanol 21,LOTUS,True,True,GNPS;MoNA
8FCE6957628A17-413B9E8B5D-2,8FCE6957628A17,Synthanol 22,COCONUT,True,True,MassBank;MoNA
E245630CF8FC2A-C1A3C357E9-9,E245630CF8FC2A,Synthanol 23,LOTUS,False,False,
B10600C4DB9045-765DBE8412-C,B10600C4DB9045,Synthanol 24,COCONUT,True,True,MassBank
6A8E1DB436BB6A-478CB76751-8,6A8E1DB436BB6A,Synthanol 25,LOTUS,True,True,GNPS
1FD4988D2DF83E-53E41EF25D-A,1FD4988D2DF83E,Synthanol 26,COCONUT,True,True,MoNA
E5F83AAB36374C-8C8E64C99C-B,E5F83AAB36374C,Synthanol 27,LOTUS,False,False,
8955C01071465D-ABD142FC88-5,8955C01071465D,Synthanol 28,COCONUT,True,True,GNPS;MoNA
AFCFA3D8D12D61-878F0E33C4-7,AFCFA3D8D12D61,Synthanol 29,LOTUS,True,True,GNPS
F2ADCFCD22AEB4-BE8A6232EF-B,F2ADCFCD22AEB4,Synthanol 30,COCONUT,True,True,MassBank;MoNA
5E09C67367B5B7-EFA83D022F-E,5E09C67367B5B7,Synthanol 31,LOTUS,True,True,GNPS
CD7656504A8304-EECE9C8884-8,CD7656504A8304,Synthanol 32,COCONUT,False,False,
3E396B83665CD9-E099E39E1B-6,3E396B83665CD9,Synthanol 33,LOTUS,True,True,GNPS;MoNA
7FB07123CC317B-840D46455B-A,7FB07123CC317B,Synthanol 34,COCONUT,False,False,
6F552F8676B36C-42A3BBA295-8,6F552F8676B36C,Synthanol 35,LOTUS,True,True,MoNA
C9EB8FCEEABEF7-4F58B6A001-0,C9EB8FCEEABEF7,Synthanol 36,COCONUT,True,True,MassBank;MoNA
89BDE66C723E7D-4FCA82D789-9,89BDE66C723E7D,Synthanol 37,LOTUS,False,False,
DAE92C19272999-20E430307D-D,DAE92C19272999,Synthanol 38,COCONUT,True,True,MassBank;MoNA
ACBADFC1F52E5C-F288C389B5-C,ACBADFC1F52E5C,Synthanol 39,LOTUS,True,True,GNPS
B0C039D4493B3B-9641290F0A-7,B0C039D4493B3B,Synthanol 40,COCONUT,False,False,
F8C9D0AEE5EB3B-F7E49C238F-F,F8C9D0AEE5EB3B,Synthanol 41,LOTUS,False,False,
E213885DF7AF9F-2202515C0F-2,E213885DF7AF9F,Synthanol 42,COCONUT,False,False,
4C316CF9989A1A-B1E7CBBAD3-B,4C316CF9989A1A,Synthanol 43,LOTUS,True,True,GNPS;MassBank
BE7310FFD36D60-B57930E486-7,BE7310FFD36D60,Synthanol 44,COCONUT,True,True,MoNA
1E0B8642D2E565-C29319A2FE-A,1E0B8642D2E565,Synthanol 45,LOTUS,True,True,GNPS;MoNA
DCADBFF68A0950-6B5CB915D3-5,DCADBFF68A0950,Synthanol 46,COCONUT,True,True,GNPS;MoNA
B6982DF5339685-62446EEB14-5,B6982DF5339685,Synthanol 47,LOTUS,True,True,MassBank;MoNA
A0F8B31906098F-14FE2EF5B2-5,A0F8B31906098F,Synthanol 48,COCONUT,False,False,
C1652FAD79C67C-B148751A70-7,C1652FAD79C67C,Synthanol 49,LOTUS,False,False,
684E9A70F4F01E-422DE45466-D,684E9A70F4F01E,Synthanol 50,COCONUT,False,False,
E89B19B493ADF9-3981FB9E44-7,E89B19B493ADF9,Synthanol 51,LOTUS,False,False,
4A4C768A5D23F4-572AF9E2AA-0,4A4C768A5D23F4,Synthanol 52,COCONUT,True,True,MassBank
BF4DF24A317C6A-F0905BC13E-6,BF4DF24A317C6A,Synthanol 53,LOTUS,False,False,
